id,kategori,ozellikler,instruction,input,expected_output,metindeki_etiketler,maskelenecek_etiketler,pred,dogru,schema_neutral,out_of_schema_tag
1,tam,ekli,Aşağıdaki mesajda kimliği belirlenebilir kılan ne varsa etiketiyle ört.,Esentepe Mah. Manolya Bulvarı No:218 Nilüfer/Trabzon'da oturan müşteri için kurye kaydı açın,[ADRES]'da oturan müşteri için kurye kaydı açın,[ADRES],[ADRES],[ADRES]'da oturan müşteri için kurye kaydı açın,True,True,False
2,tam,duz,"KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.",araç satışı için şasi F7B6HT2ETFG9716N2 motor N66D336569 sorgulanacak,araç satışı için şasi [SASI_NO] motor [MOTOR_NO] sorgulanacak,[MOTOR_NO] [SASI_NO],[MOTOR_NO] [SASI_NO],araç satışı için şasi [SASI_NO] motor [MOTOR_NO] sorgulanacak,True,True,False
3,tam,duz,Metindeki tüm kişisel verileri uygun etiketlerle maskele.,müşteri Ayşe Kılıç kredi notu 570 çıktı limit artışı uygun mu,müşteri [AD] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,[AD] [KREDI_NOTU],[AD] [KREDI_NOTU],müşteri [MUSTERI_NO] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,False,True,False
4,tam,kayit,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.","bayi ekranından gelen kayıt: imza kaydı dijital imza özeti 571B05, şasi no 6Z9741GSRLHSCNA73, cinsiyeti kadın, kart no 4960778169641853, pin 690676, adli kaydı adli para cezası kaydı","bayi ekranından gelen kayıt: imza kaydı [IMZA], şasi no [SASI_NO], cinsiyeti [CINSIYET], kart no [KART], pin [PIN], adli kaydı [CEZA_KAYDI]",[CEZA_KAYDI] [CINSIYET] [IMZA] [KART] [PIN] [SASI_NO],[CEZA_KAYDI] [CINSIYET] [IMZA] [KART] [PIN] [SASI_NO],"bayi ekranından gelen kayıt: imza kaydı [IMZA], şasi no [SASI_NO], cinsiyeti [CINSIYET], kart no [KART], pin [PIN], adli kaydı [CEZA_KAYDI]",True,False,False
5,tam,uzun,Bu satırdaki her kişisel bilgiyi maskeleyerek yeniden yaz.,yabancı müşteri kaydı uyruğu Türk pasaport U93495943. kredi başvurumun durumunu öğrenmek istiyorum adım Emir Yıldız tc 82048398844. sağlık raporumda tiroit ilacı kullanımı yazıyor sigorta primi değişir mi. imza doğrulaması için imza hash 43826d19 kayıtlarda mevcut. bordro itirazım var sicil SC3907 maaşım 146.500 TL maaş yatmış eksik. kan grubum AB Rh pozitif acil kartıma işlensin,yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO]. kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN]. sağlık raporumda [SAGLIK] yazıyor sigorta primi değişir mi. imza doğrulaması için [IMZA] kayıtlarda mevcut. bordro itirazım var sicil [SICIL_NO] maaşım [MAAS] yatmış eksik. kan grubum [KAN_GRUBU] acil kartıma işlensin,[AD] [IMZA] [KAN_GRUBU] [MAAS] [PASAPORT_NO] [SAGLIK] [SICIL_NO] [TCKN] [UYRUK],[AD] [IMZA] [KAN_GRUBU] [MAAS] [PASAPORT_NO] [SAGLIK] [SICIL_NO] [TCKN] [UYRUK],yabancı müşteri kaydı uyruğu [UYRUK] pasaport [PASAPORT_NO]. kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN]. sağlık raporumda [SAGLIK] yazıyor sigorta primi değişir mi. [IMZA] kayıtlarda mevcut. bordro itirazım var sicil [SICIL_NO] maaşım [MAAS] yatmış eksik. kan grubum [KAN_GRUBU] acil kartıma işlensin,False,False,False
6,tam,"kayit,caps","KVKK gereği bütün kişisel ve hassas alanları gizle; tutar, adet gibi kişisel olmayan sayılara dokunma.","SİSTEME GİRİLECEK KAYIT: TC Sİ 645-175-336-66, MÜŞTERİ ALİ ARSOY, EHLİYET NO F4957057, MÜŞTERİ NO 00749939, ADLİ KAYDI KABAHAT KAYDI MEVCUT","SİSTEME GİRİLECEK KAYIT: TC Sİ [TCKN], MÜŞTERİ [AD], EHLİYET NO [EHLIYET_NO], MÜŞTERİ NO [MUSTERI_NO], ADLİ KAYDI [CEZA_KAYDI]",[AD] [CEZA_KAYDI] [EHLIYET_NO] [MUSTERI_NO] [TCKN],[AD] [CEZA_KAYDI] [EHLIYET_NO] [MUSTERI_NO] [TCKN],"SİSTEME GİRİLECEK KAYIT: TC Sİ [TCKN], MÜŞTERİ ALİ [AD], EHLİYET NO [EHLIYET_NO], MÜŞTERİ NO [MUSTERI_NO], ADLİ KAYDI KABAHAT KAYDI MEVCUT",False,True,False
7,tam,ekli,Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,yetkiyi Bahar Kılıç'tan alıp Ahmet Kılıç'a verin,yetkiyi [AD]'tan alıp [AD]'a verin,[AD],[AD],yetkiyi [AD]'tan alıp [AD]'a verin,True,True,False
8,tam,ekli,Bu kayıtta kişisel veri niteliği taşıyan her şeyi köşeli parantezli etiketle değiştir.,2 Ekim 2006'da doğanlara özel kampanya Emre Uçar'a tanımlansın,[DOGUM_TARIHI]'da doğanlara özel kampanya [AD]'a tanımlansın,[AD] [DOGUM_TARIHI],[AD] [DOGUM_TARIHI],[DOGUM_TARIHI]'da doğanlara özel kampanya [AD]'a tanımlansın,True,True,False
9,tam,cok_kisi,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.",kredi başvurumun durumunu öğrenmek istiyorum adım Aylin Polat tc 64860921578 ayrıca müşteri Ömer Yaman kredi notu 468 çıktı limit artışı uygun mu,kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN] ayrıca müşteri [AD] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,[AD] [KREDI_NOTU] [TCKN],[AD] [KREDI_NOTU] [TCKN],kredi başvurumun durumunu öğrenmek istiyorum adım [AD] tc [TCKN] ayrıca müşteri [MUSTERI_NO] kredi notu [KREDI_NOTU] çıktı limit artışı uygun mu,False,True,False
10,tam,cok_kisi,"Bütün PII alanlarını maskele, metnin geri kalanını aynen koru.",çalışan Tolga Uçar Toros Turizm AŞ bünyesinde 62 yaşında kadın ayrıca aidat iadesi için ıban paylaşıyorum TR81 1229 3808 2396 5927 3650 12 isim Damla Dinç,çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [CINSIYET] ayrıca aidat iadesi için ıban paylaşıyorum [IBAN] isim [AD],[AD] [CINSIYET] [IBAN] [ISYERI] [YAS],[AD] [CINSIYET] [IBAN] [ISYERI] [YAS],çalışan [AD] [ISYERI] bünyesinde [YAS] yaşında [AILE] ayrıca aidat iadesi için ıban paylaşıyorum [IBAN] isim [AD],False,False,False
